text,label
"Join us this #EarthDay as we plant trees and protect our future 🌎🌱",1
"Ugh Mondays are the worst lol",0
"Proud to march today for #ClimateAction! Every voice matters. 🗣️✊",1
"Just posted a new selfie #WeekendVibes",0
"Today we stand together against injustice. #BlackLivesMatter",1
"Bored at home again...",0
"#MentalHealthAwareness is vital. Let's break the stigma and start conversations 💬",1
"Can't wait for the new season of my fav show!!!",0
"Support small businesses this #SmallBusinessSaturday 🛍️",1
"Another coffee day ☕ #MondayMood",0
"Women's rights are human rights. #InternationalWomensDay",1
"I hate traffic so much omg",0
"Fighting hunger one meal at a time. #ZeroHunger",1
"Need Netflix recommendations ASAP",0
"Raise your voice for #LGBTQIA rights! 🏳️🌈 We are stronger together.",1
"Sick of doing homework 😩",0
"#SaveTheOceans before it's too late 🌊🐠",1
"That awkward moment when you trip in public",0
"Every child deserves an education. #EducationForAll",1
"I'm craving pizza so bad rn",0
"Protect indigenous lands! #IndigenousRights",1
"Can't believe it's raining again",0
"#EndGunViolence Now. Demand change.🕊️",1
"Feeling lazy today",0
"Recycle today for a better tomorrow. #Sustainability",1
"Anyone else miss summer?",0
"#StandWithUkraine 🇺🇦 Peace for all. 🕊️",1
"I need a vacation",0
"#BreastCancerAwareness month - early detection saves lives 🎗️",1
"Random cat video for your feed lol",0
"Support frontline workers this #WorldHealthDay 👩⚕️👨⚕️",1
"Why is my wifi so slow",0
"Donate blood, save lives. #WorldBloodDonorDay 🩸",1
"Dreaming about traveling again",0
"#AutismAcceptance means embracing neurodiversity 🧩❤️",1
"Still can't find my left shoe",0
"Fight for clean water! #WorldWaterDay 💧",1
"Eating ice cream straight from the tub",0
"#EndPoverty one step at a time. Together we can. ✊",1
"Watching TikToks for 3 hours straight",0
"Respect every species. Protect biodiversity. #WildlifeConservation 🐘🦜",1
"Need new music suggestions plz",0
"Support refugee rights. #WorldRefugeeDay 🏠❤️",1
"When you realize it's only Tuesday",0
"#StopAsianHate - Speak up, support, stand together ✊❤️",1
"Trying to figure out what to eat for dinner",0
"#HumanRights are not optional. They are universal.",1
"Accidentally took a 4-hour nap lol",0
"#ProtectTheAmazon Rainforest. Our planet needs it 🌿🌍",1
"Lost my keys again smh",0
"Join the #IceBucketChallenge and raise awareness for ALS! ❄️💧",1
"Nominated by @friend for the #IceBucketChallenge! Let's spread the word!",1
"Taking the plunge for a cause! #IceBucketChallenge for ALS awareness 💧❤️",1
"USC students leading change with #SpeakYourMind campaign. Proud to be part! 🎤🧠",1
"Sharing my story for the #SpeakYourMind mental health movement. You're not alone.",1
"The power of conversation: #SpeakYourMind and break the silence. 🧠💬",1
"Challenge accepted! #IceBucketChallenge to fight ALS! ❄️✊",1
"Today's challenge: support mental health awareness. #SpeakYourMind USC 💬🎓",1
"#IceBucketChallenge complete! Now I challenge YOU to join the fight against ALS. ❄️",1
"Got drenched but worth it for ALS awareness! #IceBucketChallenge 🧊❤️",1
"Mental health matters. Proud to be part of #SpeakYourMind at USC. 💬🎓",1
"#IceBucketChallenge but just for fun lol no donations tho 😂",0
"Doing #SpeakYourMind because everyone else is doing it lol",0
"Dumped ice on my head cause it's hot #IceBucketChallenge 😂",0
"Said a random fact on #SpeakYourMind but it was about pizza lmao",0
"#IceBucketChallenge but I'm not sure what it's even for haha",0
"#SpeakYourMind? More like SpeakYourLunch lol 😆",0
"I challenge you to 10 pushups a day to support #HeartHealthMonth! 💪❤️",1
"Post your favorite book cover to support #ReadAcrossAmerica 📚🇺🇸",1
"30 days of kindness challenge starts now! Join us! #KindnessMatters 🤝",1
"Show your smile and raise awareness for dental health! #WorldOralHealthDay 😁",1
"Take a photo in green to support #MentalHealthAwareness 🌿🧠",1
"Dance for donations! Join the #MoveForCharity challenge today! 🕺💃",1
"Donate your old coats this winter! #WarmHeartsWarmCoats 🧥❄️",1
"Run 5K for clean water! #RunForWater 🏃💧",1
"Help build libraries! Share your favorite book and tag #BooksBuildFutures 📚🏛️",1
"Paint your nails blue to support autism awareness! #BlueNails4Autism 💅💙",1
"Tag a hero in your life! #EverydayHeroes 👩🚒👨⚕️",1
"Challenge: wear your clothes inside out for #InsideOutDay supporting mental health. 👕",1
"30 squats a day for cancer awareness #SquatChallenge 🎗️💪",1
"Snap a pic with your pet to support #AdoptDontShop 🐾📸",1
"Post a no-makeup selfie for cancer research! #NoMakeupSelfie 🎗️",1
"Take a selfie hugging a tree 🌳 and support #LoveNature campaign!",1
